"Plot Title: MSLE"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20370967, SEN S/N: 20370967)","High Range, μS/cm (LGR S/N: 20370967, SEN S/N: 20370967)","Temp, °C (LGR S/N: 20370967, SEN S/N: 20370967)","Coupler Detached (LGR S/N: 20370967)","Coupler Attached (LGR S/N: 20370967)","Stopped (LGR S/N: 20370967)","End Of File (LGR S/N: 20370967)"
319,07/16/18 02:29:04 AM,5941.9,5997.0,20.31,,,,
320,07/16/18 02:59:04 AM,5945.4,5997.0,20.32,,,,
321,07/16/18 03:29:04 AM,5941.9,5997.0,20.31,,,,
322,07/16/18 03:59:04 AM,5940.5,5997.0,20.31,,,,
323,07/16/18 04:29:04 AM,5944.0,5997.0,20.32,,,,
324,07/16/18 04:59:04 AM,5940.5,5997.0,20.32,,,,
325,07/16/18 05:29:04 AM,5939.2,5997.0,20.32,,,,
326,07/16/18 05:59:04 AM,5940.5,5995.6,20.32,,,,
327,07/16/18 06:29:04 AM,5939.2,5995.0,20.33,,,,
328,07/16/18 06:59:04 AM,5939.2,5995.6,20.32,,,,
329,07/16/18 07:29:04 AM,5956.4,6008.9,20.34,,,,
330,07/16/18 07:59:04 AM,6060.8,6120.4,20.40,,,,
331,07/16/18 08:29:04 AM,6046.2,6107.1,20.38,,,,
332,07/16/18 08:59:04 AM,6036.5,6098.5,20.38,,,,
333,07/16/18 09:29:04 AM,6030.3,6089.8,20.38,,,,
334,07/16/18 09:59:04 AM,6026.8,6085.8,20.38,,,,
335,07/16/18 10:29:04 AM,6026.8,6085.2,20.39,,,,
336,07/16/18 10:59:04 AM,6025.5,6087.2,20.40,,,,
337,07/16/18 11:29:04 AM,6028.9,6085.2,20.40,,,,
338,07/16/18 11:32:09 AM,,,,,Logged,,
339,07/16/18 11:32:18 AM,,,,,,Logged,Logged
